Parameter:;;;;
"private int maximalNumberOfIterationsTabuSearch = 20;";;;;
"private int numberOfDifferentInitialSolutions = 5;";;;;
"private int maximalNumberOfCallsToAdaptiveMemory = 20;";;;;
;;;;
Problem; InitialSolverValues; InitialSolverVehicleNumber; BestKnownValue; BestKnownVehicleNumber 
C101;833,243;10;828.94;10
C102;829,861;10;828.94;10
C103;833,052;10;828.94;10
C104;870,218;10;824.78;10
C105;829,698;10;828.94;10
C106;831,092;10;828.94;10
C107;829,379;10;828.94;10
C108;831,7;10;828.94;10
C109;829,736;10;828.94;10
C201;674,231;5;591.56;3
C202;846,809;4;591.56;3
C203;858,895;4;591.17;3
C204;941,394;4;590.6;3
C205;765,987;6;588.29;3
C206;833,619;4;588.49;3
C207;754,35;4;588.29;3
C208;796,372;3;588.32;3
R101;1678,611;20;1650.8;19
R102;1473,933;17;1486.12;17
R103;1255,642;15;1292.68;13
R104;1097,653;10;1007.31;9
R105;1397,611;16;1377.11;14
R106;1270,384;13;1252.03;12
R107;1170,927;13;1104.66;10
R108;990,812;10;960.88;9
R109;1209,753;12;1194.73;11
R110;1126,56;12;1118.84;10
R111;1157,759;11;1096.72;10
R112;1191,338;10;982.14;9
R201;1231,392;5;1252.37;4
R202;1173,35;4;1191.7;3
R203;927,113;4;939.5;3
R204;795,063;3;825.52;2
R205;1021,43;4;994.42;3
R206;1179,42;3;906.14;3
R207;865,553;3;890.61;2
R208;1399,655;2;726.82;2
R209;1150,058;4;909.16;3
R210;974,91;4;939.37;3
R211;906,144;3;885.71;2
RC101;1553,098;18;1696.94;14
RC102;1507,173;14;1554.75;12
RC103;1346,6;13;1261.67;11
RC104;1220,244;12;1135.48;10
RC105;1573,063;15;1629.44;13
RC106;1482,321;14;1424.73;11
RC107;1295,435;12;1230.48;11
RC108;1212,542;11;1139.82;10
RC201;1411,254;5;1406.94;4
RC202;1272,994;4;1365.65;3
RC203;1015,856;4;1049.62;3
RC204;950,568;3;798.46;3
RC205;1307,594;5;1297.65;4
RC206;1268,225;4;1146.32;3
RC207;1297,944;4;1061.14;3
RC208;967,16;3;828.14;3
