RC201t

VEHICLE
NUMBER     CAPACITY
  6         7

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50         0          0        960          0   
    1      25         85         2        673        793         10   
    2      22         75         1        152        272         10   
    3      22         85         1        471        591         10   
    4      20         80         4        644        764         10   
    5      20         85         2         73        193         10  
    7      15         75         1        300        420         10   
    8      15         80         1        367        487         10   
    9       5         35         2        371        491         10   
   11       8         40         3        195        315         10   
   12       8         45         1        653        773         10   
   13      10         35         1        343        543         10   
   14       5         45         1         35        155         10   
   15       2         40         2        174        294         10   
   16       0         40         2        255        375         10   
